question,option_a,option_b,option_c,option_d,answer
You have been assigned as a project manager to implement a new and innovative smartphone application in a balanced matrix organizational structure. You may experience difficulties in obtaining and assigning resources to your project due to which one of the following factors?,"The power and authority are shared between you and the functional manager, and you do not have full authority over the project and its funding.",Your role is like a coordinator or expeditor (communication coordinator or staff assistant).,You have no real authority and power.,The project budget is fully controlled by the functional manager.,A
"A Project Management Office (PMO), which is a centralized organizational unit to oversee and coordinate the management of projects and programs under its domain throughout the organization, has all of the following functions EXCEPT:","Identify and develop the organization's methodology, administrative practices, guidelines, policies, procedures, and rules.","Establish and maintain templates, policies, procedures, best practices, and standards for project management methodologies.","Monitor compliance with organizational project management processes, policies, procedures, and other items.","Be involved heavily during project initiation as a key decision-maker and integral stakeholder to make recommendations, prioritize projects, terminate projects, or take other actions as required.",A
You are a project manager overseeing a web-based automation project in a weak matrix organization. You are playing the role of a communication coordinator with little power to make decisions and sometimes report to a high-level manager. Your role can be defined as a:,Team lead,Project coordinator,Lead coordinator,Project expeditor,B
"Success in portfolio management, which can be generally described as a group of projects or programs and other works to achieve a specific strategic business goal, is generally defined as:",Aggregate performance of all components.,Control of changes to specific products and services.,"Compliance with schedule, budget, and specifications requirements.",Realization of the business benefits and financial objectives.,A
"You are overseeing the implementation of the internal website of your organization to view the company's event calendar. Your role is to coordinate activities, resources, equipment information on the project, but you have limited authority in making project decisions and h to negotiate with the functional manager to get the required resources for your project Wh of the following kind of organizational structures are you working in?",Balanced matrix,Composite structure,Weak matrix,Strong matrix,C
"You are overseeing a complex project to implement a new wireless media streaming device. Due to the complex nature of the project, you need several highly skilled technical resources with very specialized expertise and domain knowledge. You obtain these resources from the organization's resource pool and different departments, specifying the duration and bandwidth for which they will be required. You also commit to releasing these resources to respective departments once your needs are fulfilled. You are working in which kind of organizational structure?",Composite structure,Functional,Projectized,Matrix,D
"A software firm is in the process of implementing a critical accounting application for a dentist's office. In order to implement the project, full-time staff from several departments are selected to create a special project team or task force. It was decided that the task force members would not report to their functional managers or work on their functional activities while working on this critical project. This type of organizational structure is called:",Functional organization,Hybrid structure,Weak Matrix,Balanced matrix organization,B
Which one of the following is NOT true about functional organizational structure?,Project work is considered to be priority work in all functional groups.,Similar resources are grouped by specialists.,The project manager has little or no authority and could even be part-time.,Multiple projects compete for limited resources and priority.,A
Which one of the following is the logical breakdown of what needs to be done to produce the project deliverables and is sometimes referred to as the performing organization's methodology for projects?,Product life cycle,Project life cycle,Feedback loop,Product development,B
"The application of knowledge, skills, tools, and techniques to satisfy the project needs by establishing project objectives, identifying project requirements, managing stakeholders, and balancing project constraints (i.e., cost, time, quality, scope, risk, and others) is referred to as:",Project management,Project administration,Project initiation,Project coordination,A
