question,option_a,option_b,option_c,option_d,answer,card_type
Which statement is FALSE regarding the initiating process group?,"Cost and staffing start low, increase toward the end, and drop rapidly near closing.",Project risk is highest at the beginning of the project and reduces as the project approaches its end.,Stakeholder influence is highest at the start and diminishes as the project proceeds.,The project manager and team are always identified as part of the initiating process group.,4,2
All of the following will occur during project initiating EXCEPT:,Creation of a project scope statement.,Identification of internal and external stakeholders.,Development and review of the business case and a feasibility study.,Assignment of the project manager to lead a project.,1,2
Which of the following will occur only during the planning process group?,Identify stakeholders,Develop schedule,Acquire project team,Validate scope,2,2
Which of the following process groups includes the processes to complete the work defined in the project management plan and ultimately satisfies the project specifications and objectives?,Planning process group,Executing process group,Initiating process group,Closing process group,2,2
"A knowledge area represents a complete set of activities, concepts, and terms that make up an area of specialization, project management field, or professional field. Each project management knowledge area is subdivided into which of the following?",Best practices,Policies,Processes,Guidelines,3,2
All of the following should be done during the closing process group EXCEPT:,Formal sign-off and formal acceptance are received from the customers.,Customer acceptance criteria are determined.,Final versions of the lessons learned are compiled and made available for future projects.,Completed project deliverables are handed off to operations and maintenance.,2,2
"in which process group does the team track, measure, inspect, monitor, verify, review, Compaq and regulate the progress and performance of the project; ensure that the plan is working; identify any areas in which changes to the plan are required; and initiate the corresponding changes?",Monitoring & Controlling,Closing,Initiating,Executing,1,2
"You are overseeing a project for your organization to implement a web-based application for accessing pay and tax information online. Currently, you are in the process of implementing approved changes, corrective actions, preventive actions, and defect repairs in the project. You are in which of the following process groups?",Executing,Monitoring & Controlling,Planning,Closing,1,2
Which one of the following statements is FALSE about the executing process group?,This process group usually takes the most time and resources.,"The processes in this process group measure and analyze the progress and performance of the project, ensure that the plan is working, identify any areas in which changes to the p|an are required, and initiate the corresponding changes.","Corrective actions, preventive actions, and defect repairs are implemented in this process group.",This process group consists of processes to complete the work defined in the project management plan and ultimately satisfy the project specifications and objectives.,2,2
The sponsor has just signed the project charter and assigned you as a project manager to oversee a project to implement a simulator for a local golf club. What should you do FIRSTas the project manager?,Focus on identifying and classifying the stakeholders in the project.,Start working on the project management plan.,Develop the project schedule.,Create WBS.,1,2
"You have been assigned to manage a project to design a new type of vinyl-based resilient floor material. You came up with a few orders of magnitude estimates, high- level risks, constraints, and assumptions for the project. What project management process group are you in?",Monitoring & Controlling,Closing,Initiating,Planning,3,2
"Which one of the following process groups consists of iterative and ongoing processes to establish the total scope of effort, to define the objectives, and to identify the course of action required to attain those objectives?",Planning,Executing,Initiating,Monitoring & Controlling,1,2
"You are overseeing a construction project to construct a new fitness center at a local university. Currently, the team is working on collecting requirements and establishing estimates for the project. Which process group are you in?",Initiating,Executing,Monitoring & Controlling,Planning,4,2
Which one of the following is not an outcome when a project is initiated properly in the initiating process group?,Authorizing the project manager to manage the project,Defining the scope of the project,Identifying the key stakeholders,"Understanding the goal, objective, and business need of the project",2,2
Which of the following is NOT a planning process?,Create WBS,Perform Qualitative Risk Analysis,Estimate Costs,Develop Project Team,4,2
Steve has been overseeing a project to implement a new wireless media streaming device for a local networking company. The team has completed all the technical work in the project. The senior management asked Steve to report on the remaining activities in the project. Which of the following will Steve report as the remaining work?,Completion of the lessons learned,Validation of the project scope,Completion of the quality management plan,Completion of risk response planning,1,2
You just finished creating your project charter. Which of the following will NOT be included in The charter?,Detailed work package descriptions,High-level roadmap and milestones,Assumptions and constraints,Authority level of the project manager,1,2
"While working in the initiating process group, you are mainly focusing on creating a project ' charter and a stakeholder register. You will use all of the following as inputs EXCEPT:",Organizational values and work ethics,Project scope statement,Configuration management knowledgebase,Historical information and past lessons learned,2,2
Which one of the following is NOT a component of a change request?,Corrective actions,Preventive actions,Defect repair,Issue Log,4,2
"While working on the operating system upgrade project, the project manager realizes that he cannot estimate the time needed to upgrade a particular server due to the complexity of its build. He enrolls the help of Mary, who has been working on servers for over 20 years. What tool or techniques is the project manager using?",Subject Matter Expert,System Administrator,Expert Judgment,Data analysis,3,2
